age  team  league  position  game_played  game_started  min_pg  fg_pg  fga_pg  fg_pct  fg3_pg  fg3a_pg  fg3_pct  fg2_pg  fg2a_pg  fg2_pct  efg_pct  ft_pg  fta_pg  ft_pct  orb_pg  drb_pg  trb_pg  ast_pg  stl_pg  blk_pg  tov_pg  pf_pg  pts_pg  draft_order  shoot_hand  player_height  player_weight  C  SG  SF  PG  PF  Right  Left  6-11  7-1  6-8  7-3  6-0  5-10  6-5  6-6  5-11  6-1  6-4  5-9  6-7  6-3  6-10  7-2  6-9  7-0  6-2  
24  POR  NBA  PF  78  78  37.5  7.4  15.0  .495  0.1  0.2  .313  7.4  14.8  .498  .497  2.9  3.9  .757  2.5  5.6  8.0  2.1  0.9  0.6  1.3  3.0  17.9  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
25  POR  NBA  PF  81  81  39.6  8.7  17.5  .500  0.0  0.3  .174  8.7  17.2  .505  .501  4.3  5.5  .791  3.4  5.3  8.8  2.1  1.0  1.2  1.9  2.7  21.8  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
26  POR  NBA  PF  55  55  36.3  8.8  17.1  .512  0.0  0.2  .182  8.7  16.9  .516  .513  4.1  5.0  .814  2.7  5.3  8.0  2.4  0.9  0.8  2.0  2.8  21.7  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  POR  NBA  PF  69  69  36.2  9.4  20.6  .458  0.0  0.2  .200  9.4  20.4  .461  .459  4.3  5.2  .822  2.4  8.7  11.1  2.6  0.9  1.0  1.8  2.1  23.2  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
29  POR  NBA  PF  71  71  35.4  9.3  19.9  .466  0.5  1.5  .352  8.8  18.5  .475  .479  4.3  5.1  .845  2.5  7.7  10.2  1.7  0.7  1.0  1.7  1.8  23.4  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
30  SAS  NBA  PF  74  74  30.6  7.2  14.1  .513  0.0  0.2  .000  7.2  13.9  .521  .513  3.5  4.1  .858  2.4  6.2  8.5  1.5  0.5  1.1  1.3  2.0  18.0  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
31  SAS  NBA  PF  72  72  32.4  6.9  14.6  .477  0.3  0.8  .411  6.6  13.8  .480  .488  3.1  3.8  .812  2.4  4.9  7.3  1.9  0.6  1.2  1.4  2.2  17.3  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
32  SAS  NBA  PF  24  24  33.3  8.7  17.2  .504  0.6  1.6  .385  8.0  15.6  .516  .522  4.6  5.5  .847  3.1  4.9  8.0  2.2  0.6  1.2  1.5  2.5  22.6  2  Right  6-11  260  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  BRK  NBA  C  16  0  16.0  2.1  3.8  .550  0.1  0.1  .500  2.0  3.6  .552  .558  0.9  1.3  .714  1.4  2.3  3.7  0.6  0.6  0.9  0.5  1.7  5.1  22  Right  6-10  234  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  
22  PHI  NBA  PF  41  15  15.2  1.9  4.1  .473  0.0  0.0  0.0  1.9  4.1  .473  .473  0.3  0.3  .786  1.1  3.0  4.2  0.8  0.3  0.4  0.5  1.8  4.1  50  Right  6-9  260  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  
